photo,rot,ours_overall,classical_sky,sota_clip
20250822_112331,0,0.8233999808102302,7.413417185972634,0.027450069785118103
20250822_112331,90,0.8234016762094575,12.01723861694336,0.008596241474151611
20250822_112331,180,0.8233972352159666,-7.413417185972634,-0.034208327531814575
20250822_112331,270,0.8233982621088644,-12.01723861694336,0.00895775854587555
20250822_112359,0,0.8130140980090177,75.81026766271097,0.029488369822502136
20250822_112359,90,0.8129940977146369,-0.23491522606383342,0.008208304643630981
20250822_112359,180,0.8129990354481965,-75.81026766271097,-0.02333909273147583
20250822_112359,270,0.8130019404086448,0.23491522606383342,0.0036535561084747314
20250822_112502,0,0.7944652541196175,-0.7831821236559193,0.029088929295539856
20250822_112502,90,0.7944690476963272,-4.131641387939453,0.017495393753051758
20250822_112502,180,0.794470197313994,0.7831821236559193,-0.023004263639450073
20250822_112502,270,0.7944608847780767,4.131641387939453,0.010192155838012695
20250822_121039,0,0.7960270589839611,-10.566574260752674,0.02213604748249054
20250822_121039,90,0.7960228098991579,49.63532638549805,0.012835830450057983
20250822_121039,180,0.7960245100461326,10.566574260752674,-0.03387811779975891
20250822_121039,270,0.7960334266108056,-49.63532638549805,0.011779829859733582
20250822_121053,0,0.8004959201734996,-15.947191165689162,0.026306912302970886
20250822_121053,90,0.8005053209249251,43.420955657958984,0.017690643668174744
20250822_121053,180,0.8004931834581879,15.947191165689162,-0.02292841672897339
20250822_121053,270,0.8004821011992419,-43.420955657958984,0.01791819930076599
20250822_121058,0,0.793066416553262,-1.254402645405662,0.02304700016975403
20250822_121058,90,0.7930538596985816,56.3272819519043,0.013242602348327637
20250822_121058,180,0.7930530928912504,1.254402645405662,-0.010424166917800903
20250822_121058,270,0.7930657692712145,-56.3272819519043,0.014922156929969788
20250822_122539,0,0.49717632588963395,24.701673731255354,0.008386477828025818
20250822_122539,90,0.4971226718260235,3.7767333984375,0.004244253039360046
20250822_122539,180,0.496794390593162,-24.701673731255354,-0.021154075860977173
20250822_122539,270,0.49699929563425654,-3.7767333984375,0.003440752625465393
20250822_122617,0,0.7892477484486576,29.39971058663832,0.02659185230731964
20250822_122617,90,0.7892586885988178,-21.728457802220404,0.004369407892227173
20250822_122617,180,0.7892574328601487,-29.39971058663832,-0.0056580305099487305
20250822_122617,270,0.7892630055243828,21.728457802220404,0.008494734764099121
20250822_122626,0,0.783414397302305,20.08829028416295,0.042019665241241455
20250822_122626,90,0.7834195297072226,-2.8219700863486707,0.012544199824333191
20250822_122626,180,0.7834311357869829,-20.08829028416295,-0.014778167009353638
20250822_122626,270,0.7834177925460848,2.8219700863486707,0.009785562753677368
20250822_122632,0,0.7578305991705093,11.651192869674333,0.030625194311141968
20250822_122632,90,0.7578379559577757,0.2773309004934106,0.008516281843185425
20250822_122632,180,0.7578322727356465,-11.651192869674333,-0.013681620359420776
20250822_122632,270,0.7578287821061934,-0.2773309004934106,0.0059188008308410645
20250822_123224,0,0.8748827968043243,10.075490786154262,0.03085346519947052
20250822_123224,90,0.874886104358641,91.89407509251646,0.016604244709014893
20250822_123224,180,0.8748803225380586,-10.075490786154262,0.007500305771827698
20250822_123224,270,0.8748994147221932,-91.89407509251646,0.01307108998298645
20250822_123237,0,0.8132171062975226,-14.805856138508624,0.02572605013847351
20250822_123237,90,0.8128085507403551,-36.097180818256575,0.010202303528785706
20250822_123237,180,0.8127353200082085,14.805856138508624,0.011963650584220886
20250822_123237,270,0.8129455132722175,36.097180818256575,0.017370566725730896
20250822_123242,0,0.8283181932201223,-34.45895708742589,0.025378838181495667
20250822_123242,90,0.8283085080943186,1.5268297697368425,0.021054089069366455
20250822_123242,180,0.8283204041823816,34.45895708742589,0.023233562707901
20250822_123242,270,0.8281575069560831,-1.5268297697368425,0.022888362407684326
20250822_123303,0,0.7620193746421341,64.76877665228136,0.015141278505325317
20250822_123303,90,0.7622283262617557,-16.71964304070724,0.0026465952396392822
20250822_123303,180,0.7621532150992795,-64.76877665228136,-0.02492576837539673
20250822_123303,270,0.762472608262231,16.71964304070724,0.0025894343852996826
20250822_123306,0,0.8079642146403155,45.06135307149535,0.024257272481918335
20250822_123306,90,0.8079630587301136,-17.89119680304276,0.004559934139251709
20250822_123306,180,0.8079853281118436,-45.06135307149535,-0.026754915714263916
20250822_123306,270,0.807965862128027,17.89119680304276,0.0026878416538238525
20250822_123313,0,0.7975574285137162,79.94460807540113,0.021992236375808716
20250822_123313,90,0.7975635175638631,-6.09444387335526,0.008151859045028687
20250822_123313,180,0.7975548024497613,-79.94460807540113,-0.008528739213943481
20250822_123313,270,0.7975624532577639,6.09444387335526,0.008386582136154175
20250822_123318,0,0.753195870522999,119.21908975655982,0.012182936072349548
20250822_123318,90,0.7532004269102708,-18.90725226151318,-0.0029240399599075317
20250822_123318,180,0.7533182662012843,-119.21908975655982,-0.017334043979644775
