face_id,image_path,face_index,bbox_x,bbox_y,bbox_w,bbox_h,assignment_method,assignment_confidence
0,D:\Budapest2025_Google\20250822_112331.jpg,0,0.49567474048442905,0.1578719723183391,0.14734717416378315,0.16782006920415224,core,1.0
1,D:\Budapest2025_Google\20250822_121039.jpg,0,0.3820645905420992,0.4007352941176471,0.03460207612456748,0.03308823529411765,core,1.0
2,D:\Budapest2025_Google\20250822_121053.jpg,1,0.05709342560553633,0.4809688581314879,0.0395040369088812,0.03179065743944637,core,1.0
3,D:\Budapest2025_Google\20250822_121058.jpg,0,0.16810841983852365,0.492863321799308,0.03892733564013841,0.033953287197231834,core,1.0
4,D:\Budapest2025_Google\20250822_112502.jpg,0,0.4581891580161476,0.18403979238754326,0.13638985005767013,0.1578719723183391,core,1.0
5,D:\Budapest2025_Google\20250822_121039.jpg,1,0.3817762399077278,0.35986159169550175,0.036043829296424454,0.03222318339100346,core,1.0
6,D:\Budapest2025_Google\20250822_121053.jpg,0,0.40340253748558247,0.43728373702422146,0.03835063437139562,0.03762975778546713,core,1.0
7,D:\Budapest2025_Google\20250822_121058.jpg,1,0.4855824682814302,0.4517733564013841,0.04008073817762399,0.038711072664359865,core,1.0
8,D:\Budapest2025_Google\20250822_123916.jpg,3,0.7117962466487936,0.4300202839756592,0.028820375335120642,0.06237322515212982,core,0.4206118583679199
9,D:\Budapest2025_Google\20250822_195716.jpg,0,0.7216695501730104,0.26211072664359863,0.05406574394463668,0.07583621683967705,core,0.31149138344658744
10,D:\Budapest2025_Google\20250822_121039.jpg,2,0.5074971164936563,0.20177335640138408,0.054498269896193774,0.04822664359861592,core,1.0
11,D:\Budapest2025_Google\20250822_121053.jpg,2,0.21424452133794694,0.2679498269896194,0.05651672433679354,0.05082179930795848,core,1.0
12,D:\Budapest2025_Google\20250822_121058.jpg,2,0.2952710495963091,0.28460207612456745,0.05536332179930796,0.04909169550173011,core,1.0
13,D:\Budapest2025_Google\20250822_122617.jpg,0,0.2618357487922705,0.10640138408304499,0.17149758454106281,0.11743079584775086,core,1.0
14,D:\Budapest2025_Google\20250822_122626.jpg,0,0.45265700483091786,0.3514273356401384,0.09420289855072464,0.06401384083044982,core,1.0
15,D:\Budapest2025_Google\20250822_122632.jpg,0,0.5922705314009662,0.2791955017301038,0.09516908212560386,0.06076989619377163,core,1.0
16,D:\Budapest2025_Google\20250822_123501.jpg,0,0.8357487922705314,0.14597750865051903,0.1473429951690821,0.09645328719723184,core,1.0
17,D:\Budapest2025_Google\20250822_123916.jpg,0,0.704088471849866,0.2723123732251521,0.03150134048257373,0.07302231237322515,core,1.0
18,D:\Budapest2025_Google\20250822_195832.jpg,0,0.6414359861591695,0.11534025374855825,0.03806228373702422,0.07698961937716263,core,1.0
