name,scene,lap_gt,ten_gt,musiq_gt,lap_blur,ten_blur,musiq_blur
scene001__10.png,scene001,1050.2452958164376,22889.001746950587,67.23847961425781,94.41104749642864,6121.947249387142,46.83106231689453
scene001__20.png,scene001,1053.3383273703612,22947.716344693752,66.41108703613281,117.69809785236147,7356.28385453671,41.368247985839844
scene001__3.png,scene001,1046.0063530553873,22981.215453682562,66.14930725097656,136.27101857522683,6718.5919497727045,51.32289123535156
scene002__10.png,scene002,527.7976021595642,14283.288582275196,63.47974395751953,200.698918067501,9643.531726330215,58.40592956542969
scene002__20.png,scene002,558.545515792626,14656.205233898909,63.52503967285156,59.00244120480093,3884.3747670425323,40.673370361328125
scene002__3.png,scene002,489.4876195873528,13817.039266638625,62.207763671875,29.284115073249552,2738.701488245848,16.898571014404297
scene003__10.png,scene003,84.90544246852545,9364.870599413254,53.43450164794922,16.86634404864849,4786.34680111505,31.974224090576172
scene003__20.png,scene003,88.54136247970277,8789.638601765137,55.90519332885742,20.023941518094137,5699.424098582787,35.53755187988281
scene003__3.png,scene003,91.02359509963746,8384.638704600746,54.46407699584961,32.73802066252247,7814.883121049155,41.206687927246094
scene004__10.png,scene004,163.50353394357697,15431.618465468478,62.937835693359375,15.44388711440179,2841.036712159129,33.15241241455078
scene004__20.png,scene004,160.17441353263564,13579.761618407158,62.500423431396484,62.024999495712414,8913.42960967358,62.12883377075195
scene004__3.png,scene004,163.00483666238347,13129.43746969363,63.054420471191406,19.89996285759912,4142.800965584611,37.47047424316406
scene005__10.png,scene005,440.5366796803261,8332.397214151091,68.97091674804688,60.78548894033329,3039.8337017349018,47.91753005981445
scene005__20.png,scene005,489.296535546294,8299.469666243574,66.42111206054688,134.64157338049674,4759.946643320717,56.687232971191406
scene005__3.png,scene005,496.60755698007387,8701.742708535874,66.87189483642578,33.21920751537545,940.3690584134276,23.312374114990234
scene006__10.png,scene006,299.4312766535293,30631.33990591123,70.08458709716797,75.42623461233954,16277.57380068899,53.08483123779297
scene006__20.png,scene006,305.71545205794564,28776.373935332824,71.20575714111328,90.62776944875456,17203.71193525199,60.29365921020508
scene006__3.png,scene006,288.65066728156876,30288.728356381078,70.1305160522461,54.84596194953165,12628.817155477032,57.32069396972656
scene007__10.png,scene007,441.76701488596893,35951.37548759357,71.97306060791016,230.9236421456479,30017.97959929507,68.1409912109375
scene007__20.png,scene007,434.22049759998674,35575.23556918096,72.82152557373047,188.1648247835749,27162.063794350153,64.29164123535156
